id_paper,title,lat,long
1,Emergence and survival of bromus setifolius seedlings in different microsites of a patagonian arid steppe,-45.5,-70.1666
2,Facilitation between Higher Plant Species in a Semiarid Environment,37.133333,-2.3666
3,Shrub emergence and seedling growth in microenvironments created by Prosopis glandulosa,27.6,-97.95
6,Patch dynamics in arid lands: localized effects of Acacia papyrocarpa on soils and vegetation of open woodlands of south Australia,-32.95,137.4
8,Multiple effects of shrubs on annual plant communities in arid lands of South Australia,-32.95,137.4
10,Effects of Prosopis flexuosa on soil properties and the spatial pattern of understorey species in arid Argentina,-34.03333,-67.9666
14,Plant interactions govern population dynamics in a semi-arid plant community,37.0166,-2.38333
15,Population dynamics of the shrub Acacia bilimekii in a semi-desert region in central Mexico,18.3333,-97.4666
16,Moms are better nurses than dads: gender biased self-facilitation in a dioecious Juniperus tree,40.04527,-1.144722
17,The importance of shrub cover for four cactus species differing in growth form in an Andean semi-desert ,-16.6666,-68
18,Age-related change in canopy traits shifts conspecific facilitation to interference in a semi-arid shrubland,31.4,34.879167
21,Facilitative effects of Aloe secundiflora shrubs in degraded semi-arid rangelands in Kenya,0.63333,35.61666
23,Islands of fertility induce co-occurring negative and positive plant-soil feedbacks promoting coexistence,45.8666,12.98277
24,Desert shrubs have negative or neutral effects on annuals at two levels of water availability in arid lands of South Australia,-32.95,137.4
30,A field test of the stress-gradient hypothesis along an aridity gradient,37.13333,-2.3666
30,A field test of the stress-gradient hypothesis along an aridity gradient,38.4166,-6.68333
30,A field test of the stress-gradient hypothesis along an aridity gradient,40.3333,-8.41666
31,"
Effects on soil, microclimate and vegetation of the native-invasive Retama monosperma (L.) in coastal dunes",37.21,-7.18
32,"
The role of hydraulic lift on seedling establishment under a nurse plant species in a semi-arid environment",37.13333,-2.3666
33,"
Ecotypic differentiation determines the outcome of positive interactions in a dryland annual plant species",31.94,35.661944
34,"
A common-garden study of resource-Island effects on a native and an exotic, annual grass after fire",43.5111,-112.670833
35,"
Positive effects of shrubs on plant species diversity do not change along a gradient in grazing pressure in an arid shrubland",-33.71666,143.0333
37,Oak conservation maintains native grass stands in an oak woodland-annual grassland system,39.250833,-121.313889
38,Recruiting mechanisms of Cylindropuntia leptocaulis (Cactaceae) in the Southern Chihuahuan Desert,26.6833,-103.75
39,"
The association of native and non-native annual plants with Larrea tridentata (creosote bush) in the Mojave and Sonoran Deserts",35.155833,-116.885
39,"
The association of native and non-native annual plants with Larrea tridentata (creosote bush) in the Mojave and Sonoran Deserts",32.696944,-112.83944
43,Role of nurse shrubs in restoration of an arid rangeland: Effects of microclimate on grass establishment,37.359722,56.559722
44,"
Interactions of the indigenous evergreen shrub Sabina vulgaris with coexisting species in the Mu Us sandland",39.493611,110.191389
46,"
Life form and preference can drive spatial relationships among plant species in semi-arid rangelands of middle Iran",36.0888,50.325
48,"
Shrubs promote nucleation in the Brazilian semi-arid region",-5.1175,-40.87222
50,"Living where others dare not: Microhabitat distribution in Chorizanthe rigida, a serotinous desert annual",35.52555,-115.588611
50,"Living where others dare not: Microhabitat distribution in Chorizanthe rigida, a serotinous desert annual",35.2,-115.869722
50,"Living where others dare not: Microhabitat distribution in Chorizanthe rigida, a serotinous desert annual",32.130278,-112.76555
50,"Living where others dare not: Microhabitat distribution in Chorizanthe rigida, a serotinous desert annual",31.86333,-113.445833
52,"
Shrub effects on herbaceous vegetation vary with growth stages and herb relative location",36.21666,103.7833
54,"
Do tree canopies enhance perennial grass restoration in california oak savannas?",34.68333,-120.03333
55,"
Nurse-plant effects on the seed biology and germination of desert annuals",-15,-74
58,"Rodent mounds facilitate shrubs and shrubs inhibit seedlings in the Mojave Desert, USA",36.411699,-115.453951
59,"
Changes in spatial patterns of Caragana stenophylla along a climatic drought gradient on the inner Mongolian Plateau",43.9222,115.545
59,"
Changes in spatial patterns of Caragana stenophylla along a climatic drought gradient on the inner Mongolian Plateau",42.349722,112.945278
59,"
Changes in spatial patterns of Caragana stenophylla along a climatic drought gradient on the inner Mongolian Plateau",38.394167,105.636389
61,"
Regime shift by an exotic nitrogen-fixing shrub mediates plant facilitation in primary succession",40.821389,0.240278
63,Limitations to the use of facilitation as a restoration tool in arid grazed savanna: A case study,33.5,9.6333
