id_paper,id_site,title,authors,authors_full,year,nurse_species,exp_type,variable,umbrella,unidad,mean_island,mean_bs,sd_island,sd_bs,n_island,n_bs,rii,sd_rii,n_rii,mean_island_nit,mean_bs_nit,sd_island_nit,sd_bs_nit,mean_island_p,mean_bs_p,sd_island_p,sd_bs_p,n_island_fi,n_bs_fi
3,1,Shrub emergence and seedling growth in microenvironments created by Prosopis glandulosa,Franco-Pizana et al.,"Jesus G. Franco-Pizaña, Timothy E. Fulbright, Duane T. Gardiner, Alan R. Tipton",1996,Prosopis glandulosa,field,emergence,emergence,%,32,14,21,7,18,18,NA,NA,NA,1.4,0.53,0.4,0.11,13.36,6.78,3.31,5.97,8,8
3,1,Shrub emergence and seedling growth in microenvironments created by Prosopis glandulosa,Franco-Pizana et al.,"Jesus G. Franco-Pizaña, Timothy E. Fulbright, Duane T. Gardiner, Alan R. Tipton",1996,Prosopis glandulosa,field,survival,survival,%,1,4,4,16,18,18,NA,NA,NA,1.4,0.53,0.4,0.11,13.36,6.78,3.31,5.97,8,8
3,1,Shrub emergence and seedling growth in microenvironments created by Prosopis glandulosa,Franco-Pizana et al.,"Jesus G. Franco-Pizaña, Timothy E. Fulbright, Duane T. Gardiner, Alan R. Tipton",1996,Prosopis glandulosa,field,emergence,emergence,%,3,41,4,26,18,18,NA,NA,NA,1.11,0.65,0.25,0.23,16.67,6.68,6.08,5.26,8,8
3,1,Shrub emergence and seedling growth in microenvironments created by Prosopis glandulosa,Franco-Pizana et al.,"Jesus G. Franco-Pizaña, Timothy E. Fulbright, Duane T. Gardiner, Alan R. Tipton",1996,Prosopis glandulosa,field,survival,survival,%,0,1,0,3,18,18,NA,NA,NA,1.11,0.65,0.25,0.23,16.67,6.68,6.08,5.26,8,8
6,2,Patch dynamics in arid lands: localized effects of Acacia papyrocarpa on soils and vegetation of open woodlands of south Australia,Facelli & Brock,"José M. Facelli, Daniel J. Brock",2000,Acacia papyrocarpa,field,frecuency,cover,%,31.4195583596215,1.00313479623823,3.1545741324921,0.12539184952977,10,10,NA,NA,NA,1.42089552238806,0.382089552238806,0.13134328358209,0.107462686567164,477.667984189723,258.893280632411,108.498023715415,35.5731225296442,8,8
6,2,Patch dynamics in arid lands: localized effects of Acacia papyrocarpa on soils and vegetation of open woodlands of south Australia,Facelli & Brock,"José M. Facelli, Daniel J. Brock",2000,Acacia papyrocarpa,field,frecuency,cover,%,17.1786833855799,0,2.0062695924765,0,10,10,NA,NA,NA,1.42089552238806,0.382089552238806,0.13134328358209,0.107462686567164,477.667984189723,258.893280632411,108.498023715415,35.5731225296442,8,8
6,2,Patch dynamics in arid lands: localized effects of Acacia papyrocarpa on soils and vegetation of open woodlands of south Australia,Facelli & Brock,"José M. Facelli, Daniel J. Brock",2000,Acacia papyrocarpa,field,frecuency,cover,%,25.2037617554859,0,2.257053291536,0,10,10,NA,NA,NA,1.42089552238806,0.382089552238806,0.13134328358209,0.107462686567164,477.667984189723,258.893280632411,108.498023715415,35.5731225296442,8,8
6,2,Patch dynamics in arid lands: localized effects of Acacia papyrocarpa on soils and vegetation of open woodlands of south Australia,Facelli & Brock,"José M. Facelli, Daniel J. Brock",2000,Acacia papyrocarpa,field,frecuency,cover,%,7.89968652037617,11.1598746081505,1.00313479623825,0.626959247648902,10,10,NA,NA,NA,1.42089552238806,0.382089552238806,0.13134328358209,0.107462686567164,477.667984189723,258.893280632411,108.498023715415,35.5731225296442,8,8
6,2,Patch dynamics in arid lands: localized effects of Acacia papyrocarpa on soils and vegetation of open woodlands of south Australia,Facelli & Brock,"José M. Facelli, Daniel J. Brock",2000,Acacia papyrocarpa,field,frecuency,cover,%,8.27586206896551,16.551724137931,1.00313479623825,0.5015673981192,10,10,NA,NA,NA,1.42089552238806,0.382089552238806,0.13134328358209,0.107462686567164,477.667984189723,258.893280632411,108.498023715415,35.5731225296442,8,8
6,2,Patch dynamics in arid lands: localized effects of Acacia papyrocarpa on soils and vegetation of open woodlands of south Australia,Facelli & Brock,"José M. Facelli, Daniel J. Brock",2000,Acacia papyrocarpa,field,frecuency,cover,%,0,9.90595611285265,0,0.87774294670845,10,10,NA,NA,NA,1.42089552238806,0.382089552238806,0.13134328358209,0.107462686567164,477.667984189723,258.893280632411,108.498023715415,35.5731225296442,8,8
