id_paper,id_site,title,authors,authors_full,year,nurse_species,exp_type,variable,umbrella,unidad,mean_island,mean_bs,sd_island,sd_bs,n_island,n_bs,rii,sd_rii,n_rii,mean_island_nit,mean_bs_nit,sd_island_nit,sd_bs_nit,mean_island_p,mean_bs_p,sd_island_p,sd_bs_p,n_island_fi,n_bs_fi,id_es,orig_RII,orig_RIIV,RII,RIIV,nit.RII,nit.RIIV,p.RII,p.RIIV
3,1,Shrub emergence and seedling growth in microenvironments created by Prosopis glandulosa,Franco-Pizana et al.,"Jesus G. Franco-Pizaña, Timothy E. Fulbright, Duane T. Gardiner, Alan R. Tipton",1996,Prosopis glandulosa,field,emergence,emergence,%,0.6012642166791283,0.38349700393093333,1.3582077040481635,0.5662672053160089,18,18,NA,NA,NA,1.4,0.53,0.4,0.11,13.36,6.78,3.31,5.97,8,8,1,0.391304347826087,0.02288938679067359,0.22113707180029668,0.16873306565023188,0.4507772020725388,0.011423482212874288,0.3267130089374379,0.010921913657996591
3,1,Shrub emergence and seedling growth in microenvironments created by Prosopis glandulosa,Franco-Pizana et al.,"Jesus G. Franco-Pizaña, Timothy E. Fulbright, Duane T. Gardiner, Alan R. Tipton",1996,Prosopis glandulosa,field,survival,survival,%,0.1001674211615598,0.2013579207903308,0.6322434940313927,1.784609957764569,18,18,NA,NA,NA,1.4,0.53,0.4,0.11,13.36,6.78,3.31,5.97,8,8,2,-0.6,1.4620444444444445,-0.3355953399264075,3.579316448616733,0.4507772020725388,0.011423482212874288,0.3267130089374379,0.010921913657996591
3,1,Shrub emergence and seedling growth in microenvironments created by Prosopis glandulosa,Franco-Pizana et al.,"Jesus G. Franco-Pizaña, Timothy E. Fulbright, Duane T. Gardiner, Alan R. Tipton",1996,Prosopis glandulosa,field,emergence,emergence,%,0.17408301063648043,0.6949049377741745,0.4797667510849965,1.5649298976822001,18,18,NA,NA,NA,1.11,0.65,0.25,0.23,16.67,6.68,6.08,5.26,8,8,3,-0.8636363636363636,0.06738236041861136,-0.5993430957129579,0.4635826251197621,0.26136363636363635,0.005177446470487948,0.42783725910064246,0.01935486399132655
3,1,Shrub emergence and seedling growth in microenvironments created by Prosopis glandulosa,Franco-Pizana et al.,"Jesus G. Franco-Pizaña, Timothy E. Fulbright, Duane T. Gardiner, Alan R. Tipton",1996,Prosopis glandulosa,field,survival,survival,%,0,0.1001674211615598,NA,0.47418262052354443,18,18,NA,NA,NA,1.11,0.65,0.25,0.23,16.67,6.68,6.08,5.26,8,8,4,-1,2,-1,NA,0.26136363636363635,0.005177446470487948,0.42783725910064246,0.01935486399132655
6,2,Patch dynamics in arid lands: localized effects of Acacia papyrocarpa on soils and vegetation of open woodlands of south Australia,Facelli & Brock,"José M. Facelli, Daniel J. Brock",2000,Acacia papyrocarpa,field,frecuency,cover,%,0.5950279369960902,0.10032308269778516,0.20508862395876093,0.019805465972225843,10,10,NA,NA,NA,1.4209,0.3821,0.1313,0.1075,477.668,258.8933,108.498,35.5731,8,8,5,0.9381235985898768,0.0035559355486701723,0.7114462196605339,0.02548687452881032,0.576150859678314,0.0017266388376374602,0.29702171428230073,0.004706872056999058
6,2,Patch dynamics in arid lands: localized effects of Acacia papyrocarpa on soils and vegetation of open woodlands of south Australia,Facelli & Brock,"José M. Facelli, Daniel J. Brock",2000,Acacia papyrocarpa,field,frecuency,cover,%,0.4273624946479033,0,0.15377922543756725,NA,10,10,NA,NA,NA,1.4209,0.3821,0.1313,0.1075,477.668,258.8933,108.498,35.5731,8,8,6,1,0.0054559596113172276,1,NA,0.576150859678314,0.0017266388376374602,0.29702171428230073,0.004706872056999058
6,2,Patch dynamics in arid lands: localized effects of Acacia papyrocarpa on soils and vegetation of open woodlands of south Australia,Facelli & Brock,"José M. Facelli, Daniel J. Brock",2000,Acacia papyrocarpa,field,frecuency,cover,%,0.525948875267071,0,0.15602498057155795,NA,10,10,NA,NA,NA,1.4209,0.3821,0.1313,0.1075,477.668,258.8933,108.498,35.5731,8,8,7,1,0.0032079644248084434,1,NA,0.576150859678314,0.0017266388376374602,0.29702171428230073,0.004706872056999058
6,2,Patch dynamics in arid lands: localized effects of Acacia papyrocarpa on soils and vegetation of open woodlands of south Australia,Facelli & Brock,"José M. Facelli, Daniel J. Brock",2000,Acacia papyrocarpa,field,frecuency,cover,%,0.28490267369376665,0.3406123920727395,0.09409910950178474,0.0538081692392562,10,10,NA,NA,NA,1.4209,0.3821,0.1313,0.1075,477.668,258.8933,108.498,35.5731,8,8,8,-0.17105290772104348,3.3874229481561344e-4,-0.0890621528207417,0.0027555620177162833,0.576150859678314,0.0017266388376374602,0.29702171428230073,0.004706872056999058
6,2,Patch dynamics in arid lands: localized effects of Acacia papyrocarpa on soils and vegetation of open woodlands of south Australia,Facelli & Brock,"José M. Facelli, Daniel J. Brock",2000,Acacia papyrocarpa,field,frecuency,cover,%,0.2918021302991387,0.41898975928980425,0.09298321797950265,0.038827333325727055,10,10,NA,NA,NA,1.4209,0.3821,0.1313,0.1075,477.668,258.8933,108.498,35.5731,8,8,9,-0.3333306481496399,0.00014511443937734119,-0.17893792944685857,0.0015683919808888074,0.576150859678314,0.0017266388376374602,0.29702171428230073,0.004706872056999058
6,2,Patch dynamics in arid lands: localized effects of Acacia papyrocarpa on soils and vegetation of open woodlands of south Australia,Facelli & Brock,"José M. Facelli, Daniel J. Brock",2000,Acacia papyrocarpa,field,frecuency,cover,%,0,0.32018059880555644,NA,0.07768102996505297,10,10,NA,NA,NA,1.4209,0.3821,0.1313,0.1075,477.668,258.8933,108.498,35.5731,8,8,10,-1,0.003140187212655819,-1,NA,0.576150859678314,0.0017266388376374602,0.29702171428230073,0.004706872056999058
